Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
85.27145386,87.26048279,83.69948578,86.20180511,84.86978912,13121499,1.434,6/18/2018,24,2018,18,Monday,-0.3022,2.050880348
85.07897186,86.97175598,82.70497131,83.34659576,82.05869293,8714922,-3.312,6/19/2018,24,2018,19,Tuesday,-0.3022,2.050880348
82.76913452,84.91856384,82.70497131,84.53359222,83.22734833,7630630,1.424,6/20/2018,24,2018,20,Wednesday,-0.3022,2.050880348
84.50151062,85.14313507,82.44832611,83.31451416,82.02710724,5664223,-1.442,6/21/2018,24,2018,21,Thursday,-0.3022,2.050880348
83.28243256,84.05237579,81.83878326,83.63532257,82.3429718,6427410,0.385,6/22/2018,24,2018,22,Friday,-0.3022,2.050880348
83.41075134,84.116539,81.29340363,81.48589325,80.22674561,4307412,-2.57,6/25/2018,25,2018,25,Monday,-2.6554,5.692180716
80.33097076,84.05237579,80.33097076,82.86537933,81.58491516,8685766,1.693,6/26/2018,25,2018,26,Tuesday,-2.6554,5.692180716
82.12751007,82.12751007,72.18238068,73.8506012,72.70944977,18195059,-10.879,6/27/2018,25,2018,27,Wednesday,-2.6554,5.692180716
72.82400513,74.20349121,69.74422455,70.16127777,69.07712555,13624874,-4.996,6/28/2018,25,2018,28,Thursday,-2.6554,5.692180716
70.6424942,73.27313995,70.6424942,72.59944153,71.47761536,9766020,3.475,6/29/2018,25,2018,29,Friday,-2.6554,5.692180716
72.3748703,72.98441315,64.70749664,67.4023056,66.36078644,22074830,-7.159,7/2/2018,26,2018,2,Monday,-0.3108,4.45733353
67.1135788,69.26300812,65.83033752,68.17224884,67.11882782,11787383,1.142,7/3/2018,26,2018,3,Tuesday,-0.3108,4.45733353
68.20433044,69.77630615,66.56819916,69.1026001,68.0348053,11036532,1.365,7/4/2018,26,2018,4,Wednesday,-0.3108,4.45733353
69.32717133,69.32717133,67.08149719,67.94768524,66.8977356,6545131,-1.671,7/5/2018,26,2018,5,Thursday,-0.3108,4.45733353
67.20982361,72.31070709,65.92657471,71.18787384,70.08786011,19356589,4.769,7/6/2018,26,2018,6,Friday,-0.3108,4.45733353
71.54076385,72.72776031,69.74422455,71.63700867,70.53005219,9358024,0.631,7/9/2018,27,2018,9,Monday,3.5326,3.695019256
72.50319672,74.01100159,71.92573547,73.20897675,72.07772827,8739556,2.194,7/10/2018,27,2018,10,Tuesday,3.5326,3.695019256
73.46562958,80.52346039,73.20897675,79.62519073,78.39479828,41430172,8.764,7/11/2018,27,2018,11,Wednesday,3.5326,3.695019256
79.84975433,81.16507721,77.82865143,79.75351715,78.52112579,12897744,0.161,7/12/2018,27,2018,12,Thursday,3.5326,3.695019256
79.97808075,84.82231903,78.50234985,84.46942902,83.16418457,40819011,5.913,7/13/2018,27,2018,13,Friday,3.5326,3.695019256
84.05237579,86.52262115,82.89746094,85.72058868,84.39599609,28399661,1.481,7/16/2018,28,2018,16,Monday,4.3842,2.608500374
